raw_label,subgroup_id,subgroup_name
All Students,All,All Students
Female,F,Female
Male,M,Male
Students with Disabilities,SWD,Students with Disabilities
English Language Learners,ELL,English Language Learners
Economically Disadvantaged,ED,Economically Disadvantaged
Asian,Asian,Asian
Black,Black,Black
Hispanic,Hispanic,Hispanic
White,White,White
American Indian or Alaska Native,AIAN,American Indian or Alaska Native
Native Hawaiian or Other Pacific Islander,NHPI,Native Hawaiian or Other Pacific Islander
Multiracial,Multiracial,Multiracial